user_id_clean,alert_count,critical_alert_count,high_alert_count,unresolved_alert_count,unresolved_critical_count,malware_or_ransomware_count,powershell_count,lateral_movement_count,credential_access_count,tampering_count,usb_count,impossible_resolution_count,inactive_user_activity_count,identity_join_review_count,associated_user_count,risk_score,risk_reasons,critical_severity_points,high_severity_points,unresolved_critical_points,malware_ransomware_points,powershell_points,lateral_movement_points,credential_access_points,tampering_points,usb_points,impossible_resolution_points,inactive_user_points,identity_review_points,risk_band,full_name,department,employee_status
EMP12990,6,2,1,5,1,2,0,0,3,0,0,0,6,0,1,46,2 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 3 credential-access alert(s); 6 inactive-user event(s),10,3,3,6,0,0,6,0,0,0,18,0,Critical,Vyanjana Prabhu,Procurement Team,Inactive
EMP11024,7,0,3,3,0,3,0,2,0,0,1,1,7,0,1,45,3 malware/ransomware alert(s); 2 lateral-movement alert(s); 7 inactive-user event(s),0,9,0,9,0,4,0,0,1,1,21,0,Critical,Ubika Koshy,Innovation,Disabled
EMP11862,7,0,2,7,0,3,2,1,1,0,0,0,7,0,1,44,3 malware/ransomware alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 7 inactive-user event(s),0,6,0,9,4,2,2,0,0,0,21,0,Critical,Falguni Parikh,Cs,Inactive
EMP10914,6,0,3,6,0,1,3,0,1,0,0,0,6,6,1,44,1 malware/ransomware alert(s); 3 PowerShell alert(s); 1 credential-access alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,9,0,3,6,0,2,0,0,0,18,6,Critical,Ayushman Parsa,Operations Dept,Disabled
EMP12515,6,1,0,3,1,4,0,1,0,0,0,0,6,4,1,44,1 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 lateral-movement alert(s); 6 inactive-user event(s); 4 identity review concern(s),5,0,3,12,0,2,0,0,0,0,18,4,Critical,Onveer Wason,Sales,Disabled
EMP11260,6,0,1,6,0,5,0,0,0,0,1,0,6,6,1,43,5 malware/ransomware alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,3,0,15,0,0,0,0,1,0,18,6,Critical,Alexander Gaba,Customer Care,Inactive
EMP10100,7,0,2,3,0,2,2,2,0,0,1,0,7,0,1,42,2 malware/ransomware alert(s); 2 PowerShell alert(s); 2 lateral-movement alert(s); 7 inactive-user event(s),0,6,0,6,4,4,0,0,1,0,21,0,Critical,Turvi Nigam,Sales,Disabled
EMP12162,6,3,1,4,3,4,1,0,0,0,1,0,0,0,1,42,3 critical alert(s); 3 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 PowerShell alert(s),15,3,9,12,2,0,0,0,1,0,0,0,Critical,Megha Garg,Procurement,Active
EMP11224,7,0,0,4,0,3,1,1,0,0,0,0,7,7,1,41,3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 7 inactive-user event(s); 7 identity review concern(s),0,0,0,9,2,2,0,0,0,0,21,7,Critical,Chatresh Upadhyay,Supply Chain,Inactive
EMP10714,6,1,1,3,0,3,0,0,2,0,0,1,6,1,1,41,1 critical alert(s); 3 malware/ransomware alert(s); 2 credential-access alert(s); 6 inactive-user event(s); 1 identity review concern(s),5,3,0,9,0,0,4,0,0,1,18,1,Critical,Matthew Prabhu,Cs,Inactive
EMP11943,6,0,2,5,0,3,0,3,0,0,0,0,6,2,1,41,3 malware/ransomware alert(s); 3 lateral-movement alert(s); 6 inactive-user event(s); 2 identity review concern(s),0,6,0,9,0,6,0,0,0,0,18,2,Critical,Zilmil Warrior,Hr,Inactive
EMP10439,5,0,3,2,0,2,0,2,1,0,0,0,5,5,1,41,2 malware/ransomware alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,9,0,6,0,4,2,0,0,0,15,5,Critical,William Sankaran,Ops,Inactive
EMP10041,7,0,2,5,0,2,1,0,1,0,2,0,7,1,1,40,2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 7 inactive-user event(s); 1 identity review concern(s),0,6,0,6,2,0,2,0,2,0,21,1,Critical,Faris Randhawa,Purchase,Inactive
EMP12409,7,1,1,5,1,1,1,0,1,0,1,0,7,0,1,40,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 7 inactive-user event(s),5,3,3,3,2,0,2,0,1,0,21,0,Critical,Omya Mukherjee,Sales Dept,Inactive
EMP10109,6,1,1,4,1,1,2,0,1,0,1,0,6,1,1,40,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 PowerShell alert(s); 1 credential-access alert(s); 6 inactive-user event(s); 1 identity review concern(s),5,3,3,3,4,0,2,0,1,0,18,1,Critical,Warda Raju,Legal,Inactive
EMP11507,6,1,1,3,1,1,2,0,2,0,0,0,6,0,1,40,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 PowerShell alert(s); 2 credential-access alert(s); 6 inactive-user event(s),5,3,3,3,4,0,4,0,0,0,18,0,Critical,Owen Badal,Hr,Inactive
EMP11815,8,2,3,4,1,2,2,1,0,0,3,0,0,2,1,39,2 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s); 2 identity review concern(s),10,9,3,6,4,2,0,0,3,0,0,2,Critical,Yatin Sodhi,Sales,Active
EMP11402,6,0,3,4,0,1,1,2,1,0,1,0,6,0,1,39,1 malware/ransomware alert(s); 1 PowerShell alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,9,0,3,2,4,2,0,1,0,18,0,Critical,Gagan Devan,Customer Support,Inactive
EMP10806,5,1,1,3,1,3,1,0,1,0,0,0,5,0,1,39,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 5 inactive-user event(s),5,3,3,9,2,0,2,0,0,0,15,0,Critical,Daniel Nadkarni,Marketing,Disabled
EMP10909,5,1,1,3,1,2,1,0,2,0,0,0,5,1,1,39,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 2 credential-access alert(s); 5 inactive-user event(s); 1 identity review concern(s),5,3,3,6,2,0,4,0,0,0,15,1,Critical,Yahvi Gokhale,Cs,Inactive
EMP12218,5,1,2,3,1,2,1,0,0,0,0,1,5,1,1,39,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 5 inactive-user event(s); 1 identity review concern(s),5,6,3,6,2,0,0,0,0,1,15,1,Critical,Lakshmi Nigam,Finance,Disabled
EMP10500,4,2,1,3,2,1,1,0,1,0,1,0,4,0,1,39,2 critical alert(s); 2 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 4 inactive-user event(s),10,3,6,3,2,0,2,0,1,0,12,0,Critical,Irya Prakash,Sales,Disabled
EMP10771,4,0,4,1,0,3,1,0,0,0,0,0,4,4,1,39,3 malware/ransomware alert(s); 1 PowerShell alert(s); 4 inactive-user event(s); 4 identity review concern(s),0,12,0,9,2,0,0,0,0,0,12,4,Critical,Wriddhish Sachar,It,Inactive
EMP10838,6,3,1,5,3,0,3,1,0,0,2,0,0,1,1,38,3 critical alert(s); 3 unresolved critical alert(s); 3 PowerShell alert(s); 1 lateral-movement alert(s); 1 identity review concern(s),15,3,9,0,6,2,0,0,2,0,0,1,Critical,Damyanti Dasgupta,Finance,Active
EMP10035,5,1,0,2,1,5,0,0,0,0,0,0,5,0,1,38,1 critical alert(s); 1 unresolved critical alert(s); 5 malware/ransomware alert(s); 5 inactive-user event(s),5,0,3,15,0,0,0,0,0,0,15,0,Critical,Tamanna Karan,Call Center,Inactive
EMP10463,5,0,3,3,0,3,0,1,1,0,0,0,5,1,1,38,3 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 1 identity review concern(s),0,9,0,9,0,2,2,0,0,0,15,1,Critical,Isha Padmanabhan,Innovation,Disabled
EMP12651,5,1,2,2,0,2,1,0,1,0,1,0,5,1,1,38,1 critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 1 identity review concern(s),5,6,0,6,2,0,2,0,1,0,15,1,Critical,Aishani Pillai,Hr Dept,Disabled
EMP12878,5,2,0,3,0,3,0,1,0,0,1,0,5,1,1,38,2 critical alert(s); 3 malware/ransomware alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s); 1 identity review concern(s),10,0,0,9,0,2,0,0,1,0,15,1,Critical,Zayyan Contractor,Customer Support,Inactive
EMP11290,4,1,1,3,1,3,0,0,1,0,0,0,4,4,1,38,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 credential-access alert(s); 4 inactive-user event(s); 4 identity review concern(s),5,3,3,9,0,0,2,0,0,0,12,4,Critical,Ati Patla,Innovation,Disabled
EMP11210,7,2,2,4,1,4,1,1,0,0,1,0,0,1,1,37,2 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 identity review concern(s),10,6,3,12,2,2,0,0,1,0,0,1,Critical,Warda Bora,Sales Team,Active
EMP12762,7,0,0,6,0,3,0,1,1,0,2,0,7,1,1,37,3 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 7 inactive-user event(s); 1 identity review concern(s),0,0,0,9,0,2,2,0,2,0,21,1,Critical,Nathaniel Jhaveri,Marketing,Disabled
EMP10511,5,1,1,3,1,1,3,0,0,0,1,0,5,1,1,37,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 3 PowerShell alert(s); 5 inactive-user event(s); 1 identity review concern(s),5,3,3,3,6,0,0,0,1,0,15,1,Critical,Samaksh Dutt,Finance,Inactive
EMP11536,5,0,2,5,0,5,0,0,0,0,0,0,5,1,1,37,5 malware/ransomware alert(s); 5 inactive-user event(s); 1 identity review concern(s),0,6,0,15,0,0,0,0,0,0,15,1,Critical,Lila Rege,Fin,Disabled
EMP11840,5,1,1,3,1,2,0,0,1,0,0,1,5,2,1,37,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 2 identity review concern(s),5,3,3,6,0,0,2,0,0,1,15,2,Critical,Triya Singh,Ops Team,Inactive
EMP12526,5,0,1,3,0,3,1,0,1,0,0,1,5,5,1,37,3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,3,0,9,2,0,2,0,0,1,15,5,Critical,Max Bassi,Fin,Inactive
EMP10708,3,2,1,3,2,3,0,0,0,0,0,0,3,0,1,37,2 critical alert(s); 2 unresolved critical alert(s); 3 malware/ransomware alert(s); 3 inactive-user event(s),10,3,6,9,0,0,0,0,0,0,9,0,Critical,Krisha Dugar,Finance,Disabled
EMP11662,7,1,3,5,1,3,0,1,0,0,1,0,0,7,1,36,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 lateral-movement alert(s); 7 identity review concern(s),5,9,3,9,0,2,0,0,1,0,0,7,Critical,Aishani Dugal,Sales Dept,Active
EMP10112,6,1,0,4,1,1,0,1,1,0,3,0,6,0,1,36,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),5,0,3,3,0,2,2,0,3,0,18,0,Critical,Frederick Behl,Fin,Inactive
EMP10527,6,1,3,5,1,2,0,1,2,0,1,0,0,6,1,36,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 2 credential-access alert(s); 6 identity review concern(s),5,9,3,6,0,2,4,0,1,0,0,6,Critical,William Modi,Legal Dept,Active
EMP11973,6,0,0,3,0,3,0,1,0,0,1,0,6,6,1,36,3 malware/ransomware alert(s); 1 lateral-movement alert(s); 6 inactive-user event(s); 6 identity review concern(s),0,0,0,9,0,2,0,0,1,0,18,6,Critical,Edhitha Pathak,R&D,Inactive
EMP12998,6,2,1,3,2,2,1,0,2,0,1,0,0,4,1,36,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 2 credential-access alert(s); 4 identity review concern(s),10,3,6,6,2,0,4,0,1,0,0,4,Critical,Aryan Talwar,Human Resources,Active
EMP12043,5,0,1,2,0,2,2,1,0,0,0,1,5,5,1,36,2 malware/ransomware alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,3,0,6,4,2,0,0,0,1,15,5,Critical,Wakeeta Nigam,Purchase,Disabled
EMP11250,4,1,1,2,1,2,0,1,0,0,1,0,4,4,1,36,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 4 inactive-user event(s); 4 identity review concern(s),5,3,3,6,0,2,0,0,1,0,12,4,Critical,Triya Venkataraman,Customer Care,Inactive
EMP11951,4,1,1,3,1,4,0,0,0,0,0,0,4,1,1,36,1 critical alert(s); 1 unresolved critical alert(s); 4 malware/ransomware alert(s); 4 inactive-user event(s); 1 identity review concern(s),5,3,3,12,0,0,0,0,0,0,12,1,Critical,Harsh Dugar,Mktg,Inactive
EMP11558,8,1,3,7,1,2,3,1,0,0,2,0,0,2,1,35,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 3 PowerShell alert(s); 1 lateral-movement alert(s); 2 identity review concern(s),5,9,3,6,6,2,0,0,2,0,0,2,Critical,Neelima Divan,Brand Team,Active
EMP12073,7,2,2,6,2,3,1,0,0,0,2,0,0,0,1,35,2 critical alert(s); 2 unresolved critical alert(s); 3 malware/ransomware alert(s); 1 PowerShell alert(s),10,6,6,9,2,0,0,0,2,0,0,0,Critical,Yashvi Biswas,Supply Chain,Active
EMP10234,6,2,2,5,2,2,2,0,1,0,0,0,0,1,1,35,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 2 PowerShell alert(s); 1 credential-access alert(s); 1 identity review concern(s),10,6,6,6,4,0,2,0,0,0,0,1,Critical,Kabir Dhawan,Business Sales,Active
EMP11617,6,0,2,2,0,1,2,0,2,0,0,0,6,0,1,35,1 malware/ransomware alert(s); 2 PowerShell alert(s); 2 credential-access alert(s); 6 inactive-user event(s),0,6,0,3,4,0,4,0,0,0,18,0,Critical,Ryan Sarin,Finance,Inactive
EMP12911,6,1,4,6,1,3,2,1,0,0,0,0,0,0,1,35,1 critical alert(s); 1 unresolved critical alert(s); 3 malware/ransomware alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s),5,12,3,9,4,2,0,0,0,0,0,0,Critical,Charan Dhawan,Sales Team,Active
EMP10907,5,0,2,3,0,1,1,0,2,0,0,0,5,5,1,35,1 malware/ransomware alert(s); 1 PowerShell alert(s); 2 credential-access alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,6,0,3,2,0,4,0,0,0,15,5,Critical,Sneha Loke,Fin,Disabled
EMP11048,5,3,0,4,3,2,1,1,0,0,0,0,0,1,1,35,3 critical alert(s); 3 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 identity review concern(s),15,0,9,6,2,2,0,0,0,0,0,1,Critical,Quincy Lata,Finance,Active
EMP12268,5,1,1,3,1,1,1,0,1,0,1,1,5,0,1,35,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 5 inactive-user event(s),5,3,3,3,2,0,2,0,1,1,15,0,Critical,Krishna Parsa,Sales,Inactive
EMP10281,4,2,0,2,1,2,0,1,1,0,0,0,4,0,1,35,2 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 4 inactive-user event(s),10,0,3,6,0,2,2,0,0,0,12,0,Critical,Wazir Tak,People Team,Disabled
EMP11042,4,2,0,4,2,0,0,0,0,0,3,0,4,4,1,35,2 critical alert(s); 2 unresolved critical alert(s); 4 inactive-user event(s); 4 identity review concern(s),10,0,6,0,0,0,0,0,3,0,12,4,Critical,Chaman Memon,Finance Dept,Disabled
EMP11113,4,2,1,1,1,1,0,0,0,0,2,0,4,2,1,35,2 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 4 inactive-user event(s); 2 identity review concern(s),10,3,3,3,0,0,0,0,2,0,12,2,Critical,Rachana Jani,Support,Inactive
EMP12247,3,2,1,2,1,1,1,0,1,0,0,0,3,3,1,35,2 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 1 PowerShell alert(s); 1 credential-access alert(s); 3 inactive-user event(s); 3 identity review concern(s),10,3,3,3,2,0,2,0,0,0,9,3,Critical,Tanish Dasgupta,It Support,Inactive
EMP12424,9,1,4,8,0,3,0,1,1,0,4,0,0,0,1,34,1 critical alert(s); 3 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s),5,12,0,9,0,2,2,0,4,0,0,0,Critical,Hamsini Chaudhry,Mkt,Active
EMP10029,7,2,1,3,2,2,0,2,1,0,1,0,0,2,1,34,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 2 identity review concern(s),10,3,6,6,0,4,2,0,1,0,0,2,Critical,Victor Guha,Procurement Team,Active
EMP11599,7,2,1,7,2,4,0,0,0,0,3,0,0,0,1,34,2 critical alert(s); 2 unresolved critical alert(s); 4 malware/ransomware alert(s),10,3,6,12,0,0,0,0,3,0,0,0,Critical,Hardik Krishnan,R&D,
EMP10577,6,1,0,2,0,2,1,0,0,0,3,0,6,0,1,34,1 critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 6 inactive-user event(s),5,0,0,6,2,0,0,0,3,0,18,0,Critical,Divya Lalla,Mktg,Disabled
EMP11972,6,0,1,3,0,2,0,1,2,0,0,0,6,1,1,34,2 malware/ransomware alert(s); 1 lateral-movement alert(s); 2 credential-access alert(s); 6 inactive-user event(s); 1 identity review concern(s),0,3,0,6,0,2,4,0,0,0,18,1,Critical,Yochana Vyas,Business Sales,Disabled
EMP12197,6,0,1,3,0,1,2,2,1,0,0,0,6,0,1,34,1 malware/ransomware alert(s); 2 PowerShell alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,3,0,3,4,4,2,0,0,0,18,0,Critical,Qasim Rout,People Team,Inactive
EMP12673,6,0,0,5,0,3,1,2,0,0,0,0,6,1,1,34,3 malware/ransomware alert(s); 1 PowerShell alert(s); 2 lateral-movement alert(s); 6 inactive-user event(s); 1 identity review concern(s),0,0,0,9,2,4,0,0,0,0,18,1,Critical,Victor Nagar,Finance Dept,Disabled
EMP10343,5,0,2,5,0,1,0,2,0,0,1,0,5,5,1,34,1 malware/ransomware alert(s); 2 lateral-movement alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,6,0,3,0,4,0,0,1,0,15,5,Critical,Ayaan Kala,Sales Dept,Disabled
EMP10674,5,1,0,5,1,2,1,1,0,0,1,0,5,0,1,34,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s),5,0,3,6,2,2,0,0,1,0,15,0,Critical,Tripti Iyengar,Information Technology,Inactive
EMP11004,5,0,3,4,0,0,1,2,1,0,0,0,5,2,1,34,1 PowerShell alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 2 identity review concern(s),0,9,0,0,2,4,2,0,0,0,15,2,Critical,Yamini Baral,Research And Development,Disabled
EMP11276,5,0,1,1,0,5,0,0,0,0,0,0,5,1,1,34,5 malware/ransomware alert(s); 5 inactive-user event(s); 1 identity review concern(s),0,3,0,15,0,0,0,0,0,0,15,1,Critical,Tripti Cherian,Call Center,Inactive
EMP11577,5,0,1,5,0,2,0,1,1,0,0,1,5,5,1,34,2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 5 identity review concern(s),0,3,0,6,0,2,2,0,0,1,15,5,Critical,Yashodhara Sen,Customer Support,Inactive
EMP12352,5,2,1,4,2,3,0,0,2,0,0,1,0,1,1,34,2 critical alert(s); 2 unresolved critical alert(s); 3 malware/ransomware alert(s); 2 credential-access alert(s); 1 identity review concern(s),10,3,6,9,0,0,4,0,0,1,0,1,Critical,Ojas Shere,Operations,Active
EMP12795,4,2,2,3,2,2,0,0,1,0,1,1,0,2,1,34,2 critical alert(s); 2 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 credential-access alert(s); 2 identity review concern(s),10,6,6,6,0,0,2,0,1,1,0,2,Critical,Zehaan Naik,Procurement Team,Active
EMP10222,7,0,5,5,0,4,1,0,0,0,2,0,0,2,1,33,4 malware/ransomware alert(s); 1 PowerShell alert(s); 2 identity review concern(s),0,15,0,12,2,0,0,0,2,0,0,2,Critical,Sachi Bhargava,Operations,Active
EMP11749,6,0,2,5,0,1,0,2,0,0,2,0,6,0,1,33,1 malware/ransomware alert(s); 2 lateral-movement alert(s); 6 inactive-user event(s),0,6,0,3,0,4,0,0,2,0,18,0,Critical,Hamsini Lala,Operations,Inactive
EMP11857,6,0,0,3,0,3,1,1,1,0,0,0,6,0,1,33,3 malware/ransomware alert(s); 1 PowerShell alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 6 inactive-user event(s),0,0,0,9,2,2,2,0,0,0,18,0,Critical,Yashawini Bajaj,Compliance,Disabled
EMP10256,5,1,1,3,0,0,2,0,1,0,1,0,5,3,1,33,1 critical alert(s); 2 PowerShell alert(s); 1 credential-access alert(s); 5 inactive-user event(s); 3 identity review concern(s),5,3,0,0,4,0,2,0,1,0,15,3,Critical,Naveen Bhagat,Rnd,Inactive
EMP11125,5,0,2,3,0,1,2,1,0,0,1,0,5,2,1,33,1 malware/ransomware alert(s); 2 PowerShell alert(s); 1 lateral-movement alert(s); 5 inactive-user event(s); 2 identity review concern(s),0,6,0,3,4,2,0,0,1,0,15,2,Critical,Indali Aggarwal,Mktg,Disabled
EMP10387,4,0,2,3,0,3,0,0,1,0,0,0,4,4,1,33,3 malware/ransomware alert(s); 1 credential-access alert(s); 4 inactive-user event(s); 4 identity review concern(s),0,6,0,9,0,0,2,0,0,0,12,4,Critical,Abhimanyu Atwal,Supply Chain,Disabled
EMP10542,4,1,2,3,0,2,0,1,1,0,0,0,4,0,1,33,1 critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 1 credential-access alert(s); 4 inactive-user event(s),5,6,0,6,0,2,2,0,0,0,12,0,Critical,Jhalak Toor,Marketing Dept,Inactive
EMP11280,4,1,1,4,1,2,0,1,0,0,1,0,4,1,1,33,1 critical alert(s); 1 unresolved critical alert(s); 2 malware/ransomware alert(s); 1 lateral-movement alert(s); 4 inactive-user event(s); 1 identity review concern(s),5,3,3,6,0,2,0,0,1,0,12,1,Critical,Forum Saran,It Support,Disabled
EMP11025,10,1,4,8,1,1,0,2,1,0,2,0,0,1,1,32,1 critical alert(s); 1 unresolved critical alert(s); 1 malware/ransomware alert(s); 2 lateral-movement alert(s); 1 credential-access alert(s); 1 identity review concern(s),5,12,3,3,0,4,2,0,2,0,0,1,Critical,Darsh Patla,Finance,Active
