full_name,role,user_id,department,location,status,hire_date,termination_date,username,hostname,device_id,manager_username,device_id_conflict,device_user_count
Yashica Rao,Administrator,EMP10144,Human Resources,Warehouse,Disabled,,2026-07-14 21:05:34,yashica_rao48,LPT-10144,,manager773,False,0
Vasatika Saha,Engineer,EMP12090,R&D,Branch Office,Active,2024-11-11 18:45:00,,vasatika.saha98,VDR-12090,DEV38061,manager489,False,1
Harsh Sem,Officer,EMP11292,Sales,Branch Office,Active,2025-09-30 06:24:33,,harsh.sem7,VDR-11292,DEV74920,manager258,True,2
Ekansh Soni,Director,EMP12155,Marketing,,Disabled,,2026-02-18 14:53:11,ekansh.soni57,,DEV39684,manager371,False,1
Arunima Tata,Engineer,EMP10416,Finance,Work From Home,Active,2023-11-19 03:16:47,,arunima.tata4,LPT-10416,DEV17553,manager469,False,1
Aarini Bora,Specialist,EMP10929,Marketing,Data Center,On Leave,2025-11-10 16:53:42,,aarini.bora51,VDR-10929,DEV65498,,False,1
Zayyan Dayal,Analyst,EMP12022,Operations,Warehouse,Active,2024-08-11 00:00:00,,,VDR-12022,DEV40120,manager836,False,1
Nathaniel Prakash,Officer,EMP10170,Customer Support,Work From Home,Active,2022-11-12 06:58:17,,nathaniel_prakash13,VDR-10170,DEV79013,unknown,False,1
Indali Aggarwal,Consultant,EMP11125,Marketing,Data Center,Disabled,2020-12-03 16:53:08,,indali.aggarwal48,LPT-11125,DEV80310,manager549,False,1
Upadhriti Krishnan,Officer,EMP10567,Legal,Work From Home,Active,2021-04-27 10:05:44,,upadhriti.krishnan99,LPT-10567,DEV23622,manager499,False,1
Mahika Som,Director,EMP11590,Operations,Work From Home,Disabled,2020-10-03 02:35:12,2025-12-31 04:54:19,mahika.som71,WS-11590,DEV32551,manager924,False,1
Victor Nagar,Consultant,EMP12673,Finance,Regional Office,Disabled,,2022-06-06 09:29:39,victor.nagar6,WS-12673,,unknown,False,0
Sai Bedi,Trainee,EMP10134,Human Resources,Data Center,Active,2023-11-05 07:58:01,,sai.bedi96,WS-10134,DEV77271,manager729,False,1
Jatin Saha,Consultant,EMP11717,IT,Regional Office,Inactive,,,jatin.saha63,LPT-11717,DEV86229,manager317,False,1
Umang Dhaliwal,Director,EMP10642,Operations,Warehouse,Active,2024-06-19 20:01:00,,umang.dhaliwal49,VDR-10642,DEV84964,manager821,False,1
Vaishnavi Kant,Director,EMP11689,Finance,Remote,Disabled,2025-08-18 01:18:07,,vaishnavi.kant81,LPT-11689,DEV66935,manager288,False,1
Prisha Sarkar,Officer,EMP12745,Customer Support,Regional Office,Disabled,2020-06-17 17:09:43,2026-05-13 00:00:00,prisha.sarkar30,,,manager858,False,0
Shaurya Talwar,Executive,EMP10554,Operations,Data Center,Active,2026-05-25 23:46:53,,shaurya.talwar44,WS-10554,DEV37594,manager974,False,1
Onveer Bansal,Manager,EMP12174,Sales,,Inactive,2023-01-18 09:37:31,2026-05-22 18:40:00,onveer.bansal17,VDR-12174,DEV88056,,False,1
Jai Chanda,Specialist,EMP11538,Sales,,Active,2025-08-29 07:57:34,,jai.chanda34,WS-11538,DEV79778,manager941,False,1
Yoshita Raval,Manager,EMP10999,Customer Support,,Active,2020-08-09 00:00:00,,yoshita.raval66,,DEV39850,manager659,False,1
Upasna Krishnamurthy,Director,EMP10291,Finance,Data Center,Active,2020-11-16 00:00:00,,upasna_krishnamurthy12,VDR-10291,DEV82710,manager462,False,1
Vansha Virk,Manager,EMP11338,Marketing,Branch Office,Active,2023-05-10 23:35:55,,vansha_virk36,VDR-11338,,manager380,False,0
Tanish Dasgupta,Director,EMP12247,IT,,Inactive,,2026-08-24 03:17:58,tanish.dasgupta22,VDR-12247,DEV58621,manager185,False,1
Rohan Wali,Consultant,EMP10781,Innovation,Head Office,Active,2021-08-29 00:00:00,,,WS-10781,DEV17213,manager327,False,1
Tejas Raghavan,Administrator,EMP10443,IT,Data Center,Active,2022-04-18 00:00:00,,tejas.raghavan27,VDR-10443,DEV23235,manager817,False,1
Dominic Bawa,Executive,EMP12601,Operations,,Disabled,2020-02-23 00:00:00,,dominic.bawa78,WS-12601,DEV85344,manager383,False,1
Teerth Chowdhury,Analyst,EMP12149,Legal,,Active,2022-03-01 17:49:47,,teerth.chowdhury93,LPT-12149,DEV42587,manager623,False,1
Jagvi Sengupta,Consultant,EMP10449,Operations,Data Center,Active,,,jagvi.sengupta38,VDR-10449,,,False,0
Gaurangi Kibe,Executive,EMP11029,Human Resources,Regional Office,Active,2020-11-30 13:29:17,,,LPT-11029,,,False,0
Raksha Saini,Director,EMP11992,Marketing,Warehouse,Active,2026-07-30 01:51:31,,raksha.saini25,LPT-11992,DEV41536,manager621,False,1
Andrew Vasa,Consultant,EMP12403,Sales,Regional Office,Disabled,2026-04-26 00:00:00,2026-05-10 23:48:30,andrew.vasa6,,DEV64516,manager150,False,1
Darika Parekh,Officer,EMP12750,IT,,Active,2020-07-22 18:44:38,,darika.parekh27,VDR-12750,DEV14121,manager511,False,1
Vrinda Dua,Analyst,EMP10000,Human Resources,Regional Office,Active,2026-04-07 00:00:00,,vrinda.dua82,WS-10000,DEV42098,manager858,False,1
Quincy Lata,Engineer,EMP11048,Finance,Head Office,Active,2023-03-08 18:41:06,,quincy.lata26,LPT-11048,,manager525,False,0
Upkaar Doshi,Director,EMP10270,Operations,Head Office,Active,2020-02-20 09:26:36,,upkaar.doshi48,VDR-10270,DEV39002,manager698,False,1
Jackson Cherian,Specialist,EMP10736,R&D,Branch Office,Disabled,2020-11-26 08:37:44,,jackson.cherian13,VDR-10736,DEV18383,,False,1
Aradhana Yogi,Trainee,EMP10298,Marketing,Warehouse,Active,2023-05-05 19:22:01,,aradhana.yogi41,LPT-10298,,manager677,False,0
Lila Nadkarni,Engineer,EMP10032,Operations,Remote,Active,2022-07-21 01:24:12,,lila.nadkarni27,WS-10032,DEV27154,manager869,False,1
Lekha Kapoor,Specialist,EMP12498,Innovation,Data Center,Active,2025-08-20 13:08:32,,lekha.kapoor10,VDR-12498,DEV80623,,False,1
Ridhi Saini,Officer,EMP10014,People,Work From Home,Active,2022-06-30 00:00:00,,ridhi.saini2,WS-10014,DEV94012,manager564,False,1
Pahal Roy,Analyst,EMP10093,Procurement,Work From Home,Active,2026-06-28 21:31:52,,pahal.roy74,VDR-10093,DEV45325,,False,1
Shivani Pillay,Analyst,EMP10411,Legal,Data Center,Active,2024-01-16 10:50:11,,shivani.pillay89,WS-10411,DEV41139,,False,1
Adya Shetty,Officer,EMP11159,People,Regional Office,Active,,,adya.shetty2,WS-11159,,unknown,False,0
Kamala Nazareth,Consultant,EMP12362,Procurement,Branch Office,Active,2021-10-01 16:10:14,,kamala.nazareth82,VDR-12362,DEV59827,manager479,False,1
Chakradhar Nagi,Consultant,EMP12819,R&D,Warehouse,Active,2020-12-14 07:49:07,,chakradhar.nagi26,WS-12819,DEV88309,manager944,False,1
Girik Bhatia,Manager,EMP10149,Customer Support,Remote,Active,2025-10-08 23:36:07,,girik.bhatia28,WS-10149,DEV24534,manager639,False,1
Gagan Mitter,Director,EMP11600,Procurement,Regional Office,Active,2026-01-04 18:47:00,,gagan.mitter67,VDR-11600,DEV60738,,False,1
Mugdha Khare,Administrator,EMP11044,Sales,Work From Home,On Leave,2023-01-22 04:22:20,,mugdha.khare82,WS-11044,DEV20487,manager271,False,1
Abdul Deep,Officer,EMP12153,Human Resources,Branch Office,Active,2024-11-15 23:28:00,,abdul.deep62,VDR-12153,,,False,0
Tanmayi Thaman,Manager,EMP10495,Procurement,Work From Home,Active,2020-08-13 12:39:41,,tanmayi.thaman1,VDR-10495,DEV86756,manager614,False,1
Ijaya Palla,Trainee,EMP10332,Procurement,Work From Home,Active,2020-05-22 17:45:11,,,WS-10332,DEV99463,manager902,False,1
Utkarsh Vora,Administrator,EMP12788,Marketing,Work From Home,Active,2020-01-01 00:00:00,,utkarsh.vora38,WS-12788,DEV47566,,False,1
David Sampath,Engineer,EMP12066,Customer Support,Regional Office,Active,2021-07-18 08:59:32,,david.sampath85,LPT-12066,DEV61445,manager223,False,1
Dayita Rout,Engineer,EMP11874,R&D,,Active,,,dayita.rout5,VDR-11874,DEV56585,,False,1
Mugdha Shah,Specialist,EMP10756,Sales,,Active,2020-05-17 09:35:43,,mugdha.shah75,VDR-10756,DEV10665,manager581,False,1
Udarsh Korpal,Executive,EMP10798,Operations,,Active,2021-08-08 09:22:24,,udarsh.korpal53,LPT-10798,DEV30257,,False,1
Praneel Sastry,Executive,EMP12274,Supply Chain,Head Office,Disabled,2024-06-10 14:04:00,2026-07-09 23:05:36,praneel.sastry13,WS-12274,DEV78738,manager802,False,1
Samaksh Subramanian,Consultant,EMP10203,Customer Support,Branch Office,Active,2026-07-13 09:56:00,,samaksh.subramanian60,VDR-10203,,,False,0
Isha Padmanabhan,Consultant,EMP10463,Innovation,,Disabled,2022-10-28 09:40:22,2025-06-17 03:55:28,isha.padmanabhan86,LPT-10463,DEV39218,manager833,False,1
Kamala Raman,Officer,EMP12851,Supply Chain,Work From Home,Active,2020-09-20 12:12:57,,kamala.raman22,WS-12851,DEV27730,manager138,False,1
Darika Mandal,Trainee,EMP12749,Human Resources,,Active,2022-07-15 22:07:37,,darika.mandal6,VDR-12749,DEV30457,manager149,False,1
Hemang Bansal,Trainee,EMP11583,Human Resources,Warehouse,Active,2024-05-31 08:58:00,,hemang.bansal35,VDR-11583,DEV84136,,False,1
Vrishti Lala,Trainee,EMP10555,Marketing,Branch Office,Inactive,2025-11-01 00:00:00,,vrishti.lala52,VDR-10555,DEV27188,manager202,False,1
Ridhi Iyer,Specialist,EMP10174,Operations,Data Center,Active,2024-04-11 00:00:00,,ridhi.iyer25,WS-10174,,manager265,False,0
Jonathan Narayanan,Manager,EMP10289,Human Resources,Remote,Active,2025-05-23 11:04:33,,jonathan.narayanan92,LPT-10289,DEV59807,manager498,False,1
Lakshit Mand,Executive,EMP10120,Compliance,Branch Office,Inactive,2023-02-10 16:18:00,2024-04-09 00:52:14,lakshit.mand42,LPT-10120,DEV80701,,False,1
Lipika Parsa,Specialist,EMP12839,Finance,Regional Office,Disabled,,2024-07-29 22:10:00,lipika.parsa25,WS-12839,DEV37879,manager140,False,1
Vidhi Krishna,Director,EMP10847,Customer Support,Data Center,On Leave,,,vidhi.krishna41,VDR-10847,,manager832,False,0
Edhitha Balasubramanian,Analyst,EMP12699,Finance,Head Office,Active,2022-04-29 19:38:57,,edhitha.balasubramanian33,LPT-12699,DEV31302,manager683,False,1
Omya Gole,Executive,EMP10432,Finance,Branch Office,Inactive,2023-11-22 14:59:56,,omya.gole7,WS-10432,DEV63633,manager983,False,1
Ekanta Deshmukh,Consultant,EMP12969,Marketing,Branch Office,Active,2023-05-26 21:51:57,,ekanta.deshmukh53,LPT-12969,DEV49882,manager923,False,1
Ganga Goswami,Specialist,EMP11317,Human Resources,Data Center,Active,2022-11-16 06:28:48,,ganga.goswami90,WS-11317,DEV95620,manager305,False,1
Xiti Sem,Specialist,EMP11200,Operations,Data Center,Active,2023-11-13 07:50:27,,xiti.sem41,LPT-11200,DEV72419,manager259,False,1
Aarini Deep,Administrator,EMP10393,IT,Head Office,On Leave,2020-08-18 00:00:00,,aarini.deep10,WS-10393,DEV44226,manager484,False,1
Rohan Biswas,Analyst,EMP12031,Operations,Regional Office,Active,2023-01-24 14:11:06,,,WS-12031,DEV13918,,False,1
